,res,diameter,aniso_cell,area,c_perimeter,volume,center_diameter,l,b
56,True,28.949623412763934,1.7568355719178654,0.9607265235084936,3.8564034059649543,5163.438481155959,"vert
0       10756.200560
1       10910.344786
2       10890.131131
3       10903.086739
4       10771.906813
            ...     
3295     7714.837315
3296     7506.964269
3297     6904.220027
3298     5728.278606
3299     6934.519261
Length: 3300, dtype: float64",0.00013593563908785255,0.003981071705534973
57,True,28.890687751553628,1.7836108548600966,0.9780052690680799,3.9004812499078567,5340.572706429137,"vert
0       11650.588997
1       11851.939236
2       11766.593173
3       11819.307520
4       11654.942629
            ...     
3295     8291.272648
3296     8000.514725
3297     7300.147536
3298     6157.884795
3299     7500.989968
Length: 3300, dtype: float64",0.00025118864315095795,0.003981071705534973
58,True,30.752364314577484,1.7292506847240041,0.9896303066813379,3.906171983254073,5449.763227919319,"vert
0       11221.574260
1       11381.775356
2       11292.884707
3       11339.128851
4       11195.618830
            ...     
3295     7800.247031
3296     7659.110849
3297     7010.624766
3298     5709.698892
3299     7011.763368
Length: 3300, dtype: float64",0.00046415888336127773,0.003981071705534973
59,True,30.426023337421963,1.7406011695329595,1.0006796456388294,3.9316931413275964,5518.804154160952,"vert
0       11788.403591
1       11844.914106
2       11860.572995
3       11936.782681
4       11701.391798
            ...     
3295     8128.646139
3296     7932.085118
3297     7229.909347
3298     5953.007431
3299     7327.273403
Length: 3300, dtype: float64",0.0008576958985908938,0.003981071705534973
60,True,29.08944657437078,1.8170592316405374,0.9918406023293956,3.9409198977686963,5555.632591890107,"vert
0       12749.001414
1       12917.209832
2       12852.052412
3       12890.043907
4       12766.720497
            ...     
3295     9018.162677
3296     8722.915678
3297     7946.848471
3298     6777.336733
3299     8288.864584
Length: 3300, dtype: float64",0.001584893192461114,0.003981071705534973
61,True,28.6388409100788,1.8434348947543115,0.9906479382131498,3.9479499109589695,5576.055173547373,"vert
0       13201.227269
1       13368.628627
2       13310.344461
3       13342.012836
4       13237.100071
            ...     
3295     9338.053416
3296     9021.221363
3297     8199.163760
3298     7050.289609
3299     8635.490520
Length: 3300, dtype: float64",0.0029286445646252374,0.003981071705534973
62,True,30.680617001769786,1.7443586136342832,1.0054900276227694,3.942516866257226,5586.948980762464,"vert
0       11792.908120
1       12013.491390
2       11931.070998
3       11957.136904
4       11798.231657
            ...     
3295     8176.202617
3296     7983.370503
3297     7303.542907
3298     6027.696190
3299     7428.424540
Length: 3300, dtype: float64",0.0054116952654646375,0.003981071705534973
63,True,28.792260678382938,1.8341532757792713,0.992706132335279,3.948287342949639,5593.067298831958,"vert
0       13043.256876
1       13287.786255
2       13064.675643
3       13131.676891
4       13056.117729
            ...     
3295     9299.318118
3296     8976.410068
3297     8160.083505
3298     7043.904741
3299     8649.510790
Length: 3300, dtype: float64",0.01,0.003981071705534973
64,True,26.890241987265572,1.422751388776527,0.749305274283295,3.3160496099704533,2914.251554779337,"vert
0       5133.963128
1       3585.772928
2       3401.237415
3       3761.359945
4       4972.211871
           ...     
3295    3188.519199
3296    3215.803223
3297    2963.718025
3298    1909.937511
3299    2448.123946
Length: 3300, dtype: float64",1e-06,0.00630957344480193
65,True,26.79676058876214,1.4100523097250286,0.7507830634988613,3.3164285019273065,2892.2362630388157,"vert
0       5131.492609
1       3474.122759
2       3304.049749
3       3699.728975
4       5007.714860
           ...     
3295    3242.896663
3296    3021.382017
3297    2887.671766
3298    1884.238347
3299    2439.654321
Length: 3300, dtype: float64",1.8478497974222906e-06,0.00630957344480193
66,True,27.079912288575812,1.4465252945168705,0.7588482993200477,3.3413208131515613,3070.8112381828246,"vert
0       5306.134896
1       3753.440125
2       3690.626873
3       4018.034845
4       5250.864259
           ...     
3295    3340.884693
3296    3239.247243
3297    3004.067095
3298    2056.878633
3299    2578.595114
Length: 3300, dtype: float64",3.414548873833601e-06,0.00630957344480193
67,True,27.488453937057546,1.521431252275483,0.7725655587996318,3.390653470473946,3340.2584396124184,"vert
0       5750.590651
1       4616.923125
2       4712.823414
3       4901.563534
4       5635.388332
           ...     
3295    3712.778781
3296    3558.507799
3297    3309.797765
3298    2406.792076
3299    3027.707362
Length: 3300, dtype: float64",6.30957344480193e-06,0.00630957344480193
68,True,27.94869343974151,1.5730969640580297,0.7981460834910251,3.4599120314575003,3659.9784498168324,"vert
0       6237.260985
1       5363.364845
2       5516.297887
3       5644.990273
4       6173.393927
           ...     
3295    4187.114751
3296    3995.539530
3297    3750.236205
3298    2873.538978
3299    3508.940365
Length: 3300, dtype: float64",1.165914401179831e-05,0.00630957344480193
69,True,28.378591661371303,1.630007483634156,0.8354802866028226,3.5565475791964962,4043.210990906545,"vert
0       6853.501292
1       6540.872904
2       6615.837991
3       6659.084544
4       6863.934178
           ...     
3295    4915.000740
3296    4775.912627
3297    4478.604642
3298    3512.233457
3299    4253.154124
Length: 3300, dtype: float64",2.1544346900318823e-05,0.00630957344480193
70,True,29.349641787498896,1.6671219766529835,0.8878147036231607,3.6787470486116693,4500.463850793081,"vert
0       8161.348644
1       8211.136950
2       8183.785415
3       8193.470051
4       8248.660427
           ...     
3295    5735.453040
3296    5585.155192
3297    5168.899584
3298    4133.940670
3299    5053.403168
Length: 3300, dtype: float64",3.9810717055349695e-05,0.00630957344480193
71,True,27.955977539812736,1.7708313459671152,0.918562625897497,3.775155018838433,4856.575976183928,"vert
0       9808.636141
1       9816.911613
2       9815.173180
3       9833.371760
4       9841.360695
           ...     
3295    7481.399743
3296    7230.862412
3297    6679.976479
3298    5508.369610
3299    6638.703625
Length: 3300, dtype: float64",7.356422544596421e-05,0.00630957344480193
72,True,28.248726051327235,1.8193700853840793,0.9422423440885026,3.841571840987401,5153.943378984325,"vert
0       11549.403427
1       11564.657359
2       11564.556566
3       11602.867601
4       11582.341223
            ...     
3295     8296.661679
3296     7946.310527
3297     7247.984391
3298     6103.086364
3299     7520.772561
Length: 3300, dtype: float64",0.00013593563908785255,0.00630957344480193
73,True,28.80397011915722,1.7776408947602833,0.9853004081041311,3.912579282746115,5347.93013401419,"vert
0       11667.913298
1       11930.435573
2       11851.944966
3       11824.110080
4       11750.364830
            ...     
3295     8314.700544
3296     8037.225304
3297     7328.942811
3298     6164.913688
3299     7475.305199
Length: 3300, dtype: float64",0.00025118864315095795,0.00630957344480193
74,True,27.558202227573275,1.8864501860433962,0.9723086011769357,3.926531404272301,5455.646095334487,"vert
0       13255.788676
1       13358.686891
2       13335.225117
3       13358.140032
4       13325.568598
            ...     
3295     9648.812098
3296     9264.054027
3297     8418.995199
3298     7278.927868
3299     8903.464796
Length: 3300, dtype: float64",0.00046415888336127773,0.00630957344480193
75,True,30.74547973077221,1.7348203551914445,0.9967173529753556,3.9219510193422,5509.896081840232,"vert
0       11467.183736
1       11639.056956
2       11544.532924
3       11587.065476
4       11426.858358
            ...     
3295     7970.683363
3296     7836.343835
3297     7169.023452
3298     5839.073980
3299     7169.940125
Length: 3300, dtype: float64",0.0008576958985908938,0.00630957344480193
76,True,29.89087883766699,1.7679151576003624,1.0026424984627669,3.9445500572239998,5553.789576108483,"vert
0       12069.710665
1       12350.135163
2       12224.240470
3       12223.568667
4       12122.827622
            ...     
3295     8432.147528
3296     8219.461300
3297     7498.339669
3298     6242.595340
3299     7640.259256
Length: 3300, dtype: float64",0.001584893192461114,0.00630957344480193
77,True,28.666663867736617,1.8383356546846035,0.9925595871797875,3.9499644970229935,5575.627715371314,"vert
0       13071.312648
1       13259.027741
2       13190.962256
3       13220.592300
4       13105.570854
            ...     
3295     9301.232333
3296     9019.611056
3297     8205.515853
3298     6978.032222
3299     8546.042069
Length: 3300, dtype: float64",0.0029286445646252374,0.00630957344480193
78,True,28.958374629207828,1.8069583807154979,1.0045834865956245,3.9619768711795436,5586.804781868316,"vert
0       12769.262376
1       13157.020159
2       12873.406152
3       12936.635709
4       12921.643968
            ...     
3295     9033.616302
3296     8699.806413
3297     7910.293564
3298     6771.284575
3299     8268.160263
Length: 3300, dtype: float64",0.0054116952654646375,0.00630957344480193
79,True,28.011371013458845,1.8727162685196925,0.9907924709546635,3.9586184372773427,5592.923431583233,"vert
0       13566.942887
1       13700.692035
2       13654.184945
3       13695.814580
4       13597.706704
            ...     
3295     9803.706426
3296     9437.373779
3297     8583.936813
3298     7415.610170
3299     9078.836510
Length: 3300, dtype: float64",0.01,0.00630957344480193
